doi	source	length	note
10.1007/s11606-024-08797-5	-	0	NoAbstractAll
10.1016/S2589-7500(23)00267-4	OpenAlex	346	OK
10.1177/23969873241245672	-	0	NoAbstractAll
10.1007/s00404-022-06864-y	Crossref	2009	OK
10.1007/s11606-023-08226-z	-	0	NoAbstractAll
10.7759/cureus.83961	OpenAlex	1747	OK
10.3390/clinpract14040109	Crossref	883	OK
10.1097/NMC.0000000000001082	Crossref	1383	OK
10.1177/2396987319845581	OpenAlex	133	OK
10.3390/biomedicines13061483	Crossref	1580	OK
10.1146/annurev-biodatasci-020722-105958	Crossref	737	OK
10.3389/fbioe.2021.780389	Crossref	2108	OK
10.5334/gh.1165	OpenAlex	548	OK
10.1007/s00125-020-05221-5	-	0	NoAbstractAll
10.1097/01.HS9.0000852292.38263.b8	OpenAlex	1144	OK
10.1186/s13054-021-03769-1	OpenAlex	1994	OK
10.1002/jpr3.70024	-	0	NoAbstractAll
10.1002/rth2.12788	-	0	NoAbstractAll
10.1002/rth2.12125	OpenAlex	1479	OK
10.1038/s41431-021-01026-1	-	0	NoAbstractAll
10.1007/s00125-022-05755-w	OpenAlex	2222	OK
10.1177/23969873211034932	OpenAlex	1620	OK
10.1007/s13167-020-00206-1	Crossref	626	OK
10.1002/hem3.70021	-	0	NoAbstractAll
10.1007/s11606-013-2436-y	-	0	NoAbstractAll
10.1038/s41598-022-15391-4	Crossref	1988	OK
10.1038/s41431-023-01481-y	-	0	NoAbstractAll
10.1038/s41431-019-0404-7	-	0	NoAbstractAll
10.3390/biomedicines12102203	Crossref	1327	OK
